"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"10417","Q9UNZ2","NSF1C_HUMAN","NSFL1C",NA,114057000,106963000,126087000,79585400,97661300,69348600,114220000,133092000,122267000,119034000,112794000,114733000,81419600,83891100,81274900,84028500,84525100,75571000,78877900,79839000,74870500,77003300,103052000,108029000,105235000,73744700,71307000
"10418","Q9UNZ5","L10K_HUMAN","C19orf53",NA,3703200,3446460,3486100,3965120,NA,NA,3423330,2344020,NA,NA,3796460,NA,NA,2553770,2942910,2728860,NA,2544700,3384000,NA,2998580,NA,NA,NA,NA,NA,NA
"10419","Q9UP83","COG5_HUMAN","COG5",NA,8855340,9034840,8663690,7975760,11771000,10918000,8126610,10166500,10401100,9329780,9896650,9625920,8811100,7819640,7942600,7947020,7856250,8541730,8479640,10480800,10236400,11082100,10732000,11674200,13283500,11155000,11527100
"10420","Q9UP95","S12A4_HUMAN","SLC12A4",NA,1846310,1149290,NA,1622210,2105020,3082050,1832300,1098970,NA,NA,NA,1019680,NA,948683,2002450,1493690,1450100,1695690,1896210,3092060,3490510,2050960,2915850,2243840,2112160,2007900,2439420
"10421","Q9UPI3","FLVC2_HUMAN","FLVCR2",NA,3071330,2327640,1099130,641818,955839,923382,3636990,1291540,535962,1518700,2828340,2791160,738449,687055,780948,1321610,816743,598809,677662,1083360,1329780,1060860,763543,906324,764058,632963,602915
"10422","Q9UPM8","AP4E1_HUMAN","AP4E1",NA,2463340,2394320,2378520,1251970,2075450,1973550,2413970,2178960,1972950,2643210,2205960,2350700,1801980,1454450,1513920,1356400,1069390,1827490,1594010,2335760,2666990,2365790,2579540,1937490,1785930,1938140,2271030
"10423","Q9UPN3","MACF1_HUMAN","MACF1",NA,33107300,33343800,32825800,26898100,25321900,28862600,34574800,31416000,26947500,30013700,33720600,34264900,29088400,27435900,25675200,24149800,27539300,28726200,28816400,21013800,22011900,22803300,21387200,29012700,24994500,29193000,28998300
"10424","Q9UPN4","CP131_HUMAN","CEP131",NA,5318230,4845700,6269930,7930420,6328400,5765280,5214210,6358340,7403310,5314860,4257130,4693540,9070380,8003620,9186630,7654970,9075740,7668840,8216800,7577840,6680300,6966980,6935030,7254690,8295260,6071900,5764430
"10425","Q9UPN6","SCAF8_HUMAN","SCAF8",NA,70159200,69619900,69555400,51955200,62696700,65619300,66718400,60860000,67889800,75633100,69495600,69131200,50585500,50373700,50599300,53919300,59566200,54428400,53339000,61430000,67610300,64699100,65134800,59781100,60127200,61991400,64954600
"10426","Q9UPN7","PP6R1_HUMAN","PPP6R1",NA,52221300,43363500,41217900,45694600,49774700,46829600,46630600,45800100,36035100,45484200,42139100,45300400,34985600,34129300,36857400,39818400,41685000,44920600,43038300,51656300,52157900,53329700,48644700,48585200,49718000,46178900,49931700
"10427","Q9UPN9","TRI33_HUMAN","TRIM33",NA,14815400,14725700,15953500,14070200,13135100,15178100,17071600,15869600,16091500,15711600,14979500,15003400,16031100,16129600,15092500,15994200,17484000,16203800,15073800,16076500,17094900,16414800,18140600,14983100,14055000,17253800,17881300
"10428","Q9UPP1","PHF8_HUMAN","PHF8",NA,6751570,6092420,6267390,5508850,5987820,5732850,6608170,6185920,7084260,7293330,6803260,6909910,5034140,5660860,5947600,6241810,5647970,5935950,5740620,5668800,7196530,6396920,6203310,6188080,5899140,6261540,6697800
"10429","Q9UPQ3","AGAP1_HUMAN","AGAP1",NA,2877990,2454030,2798310,NA,NA,NA,2308570,3252910,1426890,3249650,2227560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10430","Q9UPQ8","DOLK_HUMAN","DOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,3611830,NA,NA,NA,744706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,931490
"10431","Q9UPQ9","TNR6B_HUMAN","TNRC6B",NA,12487600,10421500,10160100,11629400,8048190,8218630,10446500,9971280,10346400,7652340,10680900,11324000,10467000,10126400,11223700,10437400,8904940,9630650,9781120,7672460,6711180,6700340,7282660,8064610,8433800,7780740,7818450
"10432","Q9UPR0","PLCL2_HUMAN","PLCL2",NA,1379240,2046570,1422620,NA,1769310,2770860,2050260,1548660,1311080,1887380,1776150,1866720,NA,NA,NA,NA,NA,NA,NA,2656140,2010490,2511820,2635490,2779790,2270820,2766550,2932590
"10433","Q9UPR3","SMG5_HUMAN","SMG5",NA,2794680,2297580,2575430,2832630,3214440,2609730,3840850,3904880,4411060,4116380,2840340,3189190,3515980,3047720,4041460,3133200,3957310,3054830,3254040,3716670,4499620,4079460,3404700,2936160,3090030,3702170,4309920
"10434","Q9UPS6","SET1B_HUMAN","SETD1B",NA,3944470,3442480,3210890,5298120,5114140,4994820,3692770,3223040,3787220,4004580,3570390,3621250,4506730,4645900,4567870,5778300,5703180,5533490,4975390,5000100,5264340,5525720,4513640,4822970,4336540,5317460,5193900
"10435","Q9UPT5","EXOC7_HUMAN","EXOC7",NA,9421970,9277550,9206370,9653440,9621300,9616870,8813260,8873810,9864840,9696450,7736900,8940300,10628300,9953300,9620630,9611480,9904220,9091440,9773990,8970980,8576430,9620640,9313160,9613690,8579610,9914790,10523400
"10436","Q9UPT6","JIP3_HUMAN","MAPK8IP3",NA,3990490,4837450,6400860,4602880,6392140,4471190,3771370,5199810,NA,NA,NA,5020040,3346920,NA,5910720,5452390,4825980,4034600,NA,3470920,6238190,4376210,4193370,4324620,NA,NA,NA
"10437","Q9UPT8","ZC3H4_HUMAN","ZC3H4",NA,65549300,58711900,57671400,74204500,50549100,66960800,57594900,56764200,53512800,58740400,58318300,63912100,65081700,58708800,77299300,70663300,70107800,68013000,70497400,66023200,55278400,53731700,58949200,59712100,60350800,55887100,53695700
"10438","Q9UPT9","UBP22_HUMAN","USP22",NA,7679570,8627100,8595160,6798220,5326620,7469510,7610550,7871110,6841650,8265650,7954490,9081240,6202070,6334910,7272200,6297220,6310550,7800540,8819280,8293550,7766930,5501680,4686300,6631890,5707550,7109630,5605840
