"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"307","B0YJ81","HACD1_HUMAN","HACD1",NA,22977000,NA,16027800,NA,18215500,NA,16909700,21180700,20096300,15225900,21953600,18311100,17330800,22288000,26256100,NA,17699300,14628000,NA,17268800,NA,18986000,20033900,27830200,16385900,18601600,20690900
"308","B1ANH7","IBADT_HUMAN","IBA57-DT",NA,1121850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","B1ATL7","PRR32_HUMAN","PRR32",NA,NA,NA,NA,NA,2044760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","B2RBV5","MR1L2_HUMAN","MRFAP1L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460354,NA,NA,NA,375029,NA,13316.4,357502,NA,356987,189489,271355,161127
"311","B2RD01","CENP1_HUMAN","CENPBD1P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3290510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4068530,5330150,NA
"312","B2RTY4","MYO9A_HUMAN","MYO9A",NA,662833,745584,803491,321471,721399,718204,617619,837000,570737,911189,634797,693387,273196,300873,318843,430121,399938,522801,513771,622681,604168,523182,411589,765111,829692,522221,516966
"313","B2RUZ4","SMIM1_HUMAN","SMIM1",NA,NA,NA,NA,10764300,NA,NA,NA,NA,NA,NA,NA,NA,13742100,11428000,14598100,9690940,9457460,10752700,10816600,NA,NA,NA,NA,NA,NA,NA,NA
"314","B2RV13","CF97D_HUMAN","CFAP97D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189210,NA
"315","B2RXF5","ZBT42_HUMAN","ZBTB42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","B3GLJ2","PATE3_HUMAN","PATE3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1804300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","B4DJY2","TM233_HUMAN","TMEM233",NA,NA,NA,NA,925776,NA,NA,NA,NA,NA,NA,NA,NA,371642,794668,858869,NA,656016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","B4DS77","SHSA9_HUMAN","SHISA9",NA,NA,NA,NA,NA,163262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38580400,NA,NA,31241500,NA
"319","B5MD39","GGTL3_HUMAN","GGTLC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963402,NA,NA,NA
"320","B5ME19","EIFCL_HUMAN","EIF3CL",NA,NA,NA,NA,NA,NA,848556,1665310,NA,NA,1554350,NA,1635140,2221140,NA,1972730,NA,1840300,NA,2241390,NA,NA,NA,941135,NA,848202,891174,884566
"321","B7Z368","CJ142_HUMAN","LINC02881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121333,NA,NA
"322","B7ZAP0","RBG10_HUMAN","RABGAP1L",NA,1180530,NA,NA,NA,3171000,2714020,685357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660955,2502140,3266650,2637190,2258490,1891710,2644650,2498650,2718830
"323","B7ZAQ6;P0CG08","GPHRA_HUMAN;GPHRB_HUMAN","GPR89A;GPR89B",NA,8850020,6091110,7671580,4155440,4089640,4084030,8165710,5062240,6936630,5635570,4545050,5074440,4612900,4384360,5362130,9021840,5998090,4784500,3802980,4029080,3514110,3330400,3819840,5216270,4733080,3394640,4005380
"324","B7ZBB8","PP13G_HUMAN","PPP1R3G",NA,7909760,6792800,5475520,NA,9656810,9808460,6408810,5297490,13841300,4992600,7300280,6455830,NA,NA,NA,NA,NA,NA,NA,6016260,7932560,8105330,6448200,11618300,7183400,7769740,7759850
"325","B9A014","F243A_HUMAN","C21orf140",NA,NA,147252,NA,NA,NA,144757,180363,NA,NA,NA,NA,NA,127263,NA,175242,NA,166849,128366,157464,179205,NA,NA,NA,183623,NA,NA,NA
"326","B9A064","IGLL5_HUMAN","IGLL5",NA,386083,163990,NA,NA,NA,NA,187611,NA,NA,NA,NA,NA,NA,NA,NA,NA,233218,NA,NA,NA,386938,NA,NA,210057,NA,NA,NA
"327","C0HLS1","OSCRI_HUMAN","SCRIB",NA,2606420,3068060,1324810,3816610,1052010,1544590,2824950,2701000,1625290,1816360,2966650,2937600,2075850,1463500,3037220,1926620,2630020,2504010,2647170,1791000,888354,756374,722822,NA,1070010,1614530,1306600
"328","C0HLV8","MP31_HUMAN","MLDHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480941,NA,NA,NA,NA,NA,NA
"329","C0HM83","SHMOS_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254725,NA,NA,NA,NA,NA,NA,NA,NA,NA,1759490,NA,NA,NA,NA,NA,NA,NA
"330","C0HM98","DDUP_HUMAN","CTBP1-DT",NA,NA,NA,2577310,6168550,NA,NA,4366190,3557290,NA,NA,NA,7142420,NA,5829050,6188560,5200030,NA,NA,NA,NA,NA,NA,NA,4814210,NA,NA,NA
"331","C0HMA1","P155_HUMAN","MIR155HG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","C4AMC7;Q6VEQ5","WASH2_HUMAN;WASH3_HUMAN","WASH2P;WASH3P",NA,16174000,11853800,13654300,11765900,10239200,11504700,14284500,13533100,15201500,13789700,18754000,16547000,15464400,16027300,15772300,12180700,14121900,14012300,10756300,13969200,11776100,11083100,8588160,14154700,12473500,12393500,11599600
"333","C9J3V5","TEX22_HUMAN","TEX22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269623,NA
"334","C9J7I0","UMAD1_HUMAN","UMAD1",NA,2193740,1519270,2112210,1537050,1627550,1544100,1777420,2242280,2831860,1838660,1906030,2008930,1292440,1580700,1424770,1327880,1307120,NA,1111360,1795240,1554770,1503250,1193320,1991200,1750330,1900760,1717520
"335","C9JH25","PRRT4_HUMAN","PRRT4",NA,1975430,NA,NA,NA,1356810,NA,NA,NA,NA,1775790,NA,NA,1338180,NA,1316810,NA,1666590,1522320,1533590,NA,1288400,NA,NA,NA,1360290,1248940,NA
"336","C9JLW8","MCRI1_HUMAN","MCRIP1",NA,15694900,14002300,22502700,11438400,12745200,15726500,19987700,28019900,15365600,13179200,22044700,20877900,10265700,9673080,17099000,14790000,10265800,6825670,6983280,17381600,16262300,13289700,16866100,21721600,17221400,11097500,13439200
"337","C9JPN9;D6RCP7","U17LJ_HUMAN;UL17C_HUMAN","USP17L12;USP17L19",NA,NA,NA,NA,733687,NA,NA,1053740,NA,NA,NA,NA,NA,NA,NA,914538,NA,NA,NA,NA,249025,NA,NA,906444,353422,NA,NA,NA
"338","C9JXX5","FREY_HUMAN","FREY1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5240340
"339","D3DTV9","PRAC2_HUMAN","PRAC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","D6RBM5","U17LN_HUMAN","USP17L23",NA,427839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","E0CX11","STMP1_HUMAN","STMP1",NA,1387330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","E5RHQ5","NPB11_HUMAN","NPIPB11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3526740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","E5RJM6","ANR65_HUMAN","ANKRD65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4996850,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","E7ETH6","Z587B_HUMAN","ZNF587B",NA,388422,446377,289707,NA,261296,NA,362457,NA,NA,244120,437052,NA,NA,NA,NA,NA,NA,222288,NA,NA,NA,255605,NA,NA,NA,175539,235295
"345","E7EW31","PROB1_HUMAN","PROB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646096,NA,NA,NA,NA,NA,NA,NA,507744,NA,NA,NA,NA,NA,NA,NA,NA
"346","E9PAV3","NACAM_HUMAN","NACA",NA,470348000,443525000,426273000,448033000,435359000,427637000,469111000,496780000,471951000,439280000,600392000,514999000,503832000,556278000,540997000,459133000,493861000,430944000,559028000,443043000,456276000,424991000,423428000,446136000,452972000,452869000,440182000
"347","E9PI22;P0DMB1","P23D1_HUMAN;P23D2_HUMAN","PRR23D1;PRR23D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262459,255280,NA,NA,NA,162111,NA,202066,NA,NA
"348","E9PQX1","TM262_HUMAN","TMEM262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1739220,NA,NA,NA,NA,NA,NA,NA,NA,NA,3073000,NA,NA,2302740,NA
"349","E9PRG8","CK098_HUMAN","C11orf98",NA,39209500,46951200,41542000,39378100,28366100,34382500,35197500,30924700,36174200,31128400,42941500,42287100,30916500,30237000,38088500,35952200,33428800,32936600,30420700,35230000,31619700,25592300,34973800,34714900,36205100,32062800,34656000
"350","F2Z333","FND10_HUMAN","FNDC10",NA,442686,NA,278518,1045800,NA,NA,NA,NA,660211,NA,NA,NA,975912,701642,1046210,602444,894703,840373,943124,NA,NA,NA,NA,NA,NA,NA,NA
"351","F2Z398","LMO7D_HUMAN","LMO7DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197717,NA,NA,NA,NA,NA
"352","F5H4A9","CC080_HUMAN","C3orf80",NA,167947,157785,264537,NA,NA,NA,95827,187086,NA,232402,207339,286725,NA,NA,73658.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","G3V211","CL079_HUMAN","LINC01619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1848570,NA
"354","G9CGD6","CNIPF_HUMAN","CNK3/IPCEF1",NA,3947620,NA,1329030,NA,11156900,5436390,3134690,1238490,3912500,NA,NA,NA,1131890,954378,NA,NA,NA,NA,NA,12446600,9353970,10931600,8897030,5569600,8298140,4792100,4998400
"355","H0UI37","TSTD3_HUMAN","TSTD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,119037,NA,NA,NA,NA,NA,NA,NA,NA,NA,164018,NA,NA,NA,NA,NA,NA,107148,NA
"356","H3BQJ8","LY6L_HUMAN","LY6L",NA,NA,NA,NA,NA,27377.7,147089,NA,NA,NA,133947,NA,NA,109555,NA,NA,NA,208760,162806,189237,NA,NA,NA,NA,NA,NA,35012.7,NA
"357","H3BQL2","GOG8T_HUMAN","GOLGA8T",NA,NA,NA,NA,NA,8334790,8805520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9052440,7853060,9379090,5396860,11504700,9051060,4275390,4822350
"358","H3BS89","T178B_HUMAN","TMEM178B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5043250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","H3BU77","CC179_HUMAN","CCDC179",NA,NA,4220750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2291920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","H3BV12","GOG8Q_HUMAN","GOLGA8Q",NA,33964600,28743200,29157600,NA,60088100,52088800,34840200,34656600,34827100,38833500,37664400,36814900,33819600,35714900,37455100,40300900,36952900,NA,27849400,44961100,13308100,47510500,29246100,58499800,60778100,49884600,45100700
"361","H7C241","CLD34_HUMAN","CLDN34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099190,NA,NA,NA,NA,NA,NA,NA,NA
"362","I0J062","PANO1_HUMAN","PANO1",NA,NA,NA,NA,NA,NA,NA,794908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","I6L899","GOG8R_HUMAN","GOLGA8R",NA,22748500,21044200,18654400,19059700,28982900,27530100,20385700,20051000,22955500,27539500,22075500,22517000,18712800,16318500,21876000,18897700,19424700,17079100,18551700,28354900,26476300,28940000,17950400,34813000,29797600,24093100,24134300
"364","L0R6Q1","S35U4_HUMAN","SLC35A4",NA,23815600,33479000,26462200,23065100,27599800,28347800,21292200,30592600,35087900,33718500,30893900,31981300,21057700,18857200,21144700,19923300,20816800,21121800,19968800,29843500,27834400,29587900,31309400,29192300,27522600,29885800,30382800
"365","L0R819","ASURF_HUMAN","ASDURF",NA,25419800,21533100,22937600,33933300,12024900,15074000,19466400,24087400,18622200,29223800,25768200,24797000,19157800,19653200,29215400,34805700,20181300,22387100,21503400,11083800,9618320,11427500,9701430,12542700,13670600,13191200,12576600
"366","L0R8F8","MIDUO_HUMAN","MIEF1",NA,NA,6965750,7773040,8492140,3927740,5599640,5819570,7617390,6046610,5770220,6343760,NA,6007550,10397100,8865380,8640030,NA,NA,5211960,5677810,4252600,5101350,4985000,5068520,5882190,4704360,3836180
"367","O00110","OVOL3_HUMAN","OVOL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565463,NA,NA,NA
"368","O00115","DNS2A_HUMAN","DNASE2",NA,41866600,24072600,28551900,1466390,45293600,9691830,39671000,29553700,12981300,30268400,25362300,21747900,NA,NA,NA,NA,NA,1905720,1383130,12628200,13663000,13946500,9852790,20545900,27387600,6939130,7684160
"369","O00116","ADAS_HUMAN","AGPS",NA,116502000,117824000,119492000,94536600,89212800,113775000,128784000,137457000,118252000,122055000,121789000,123470000,99554500,95233100,83851200,98593500,87009300,95616100,90251700,91371400,92442300,94173700,96495500,96003900,99766200,104429000,102974000
"370","O00124","UBXN8_HUMAN","UBXN8",NA,5014010,4027320,3215680,9043470,3033390,3473120,4587550,4467870,4011760,3851960,3792120,3643580,3705830,4785400,3156520,3679970,2842560,8033810,7239530,4219260,5292890,2943440,3224400,2830330,3471860,4946450,5708040
"371","O00139","KIF2A_HUMAN","KIF2A",NA,34031200,42863800,41720500,31974500,29660000,31982200,33359400,41705700,47329100,40462000,44581700,42823600,30927400,33587900,32644900,32505400,33751500,33210400,31637200,28167000,25693200,27560200,34014300,20946800,29262400,30425400,30989100
"372","O00142","KITM_HUMAN","TK2",NA,1970290,2097930,1480150,3491380,1475090,1632090,2642680,1886280,2268440,1425680,2388370,2172290,4577060,4084730,3508300,3585410,2807840,4767820,3854400,1519980,1581270,1621330,1461930,1374220,1413480,1529410,1592870
"373","O00148","DX39A_HUMAN","DDX39A",NA,142338000,144450000,133003000,125156000,86649300,106384000,155775000,115608000,79115100,113133000,108946000,139173000,98238300,122195000,109320000,129627000,132238000,163682000,144755000,126646000,91217200,93097600,121859000,97029900,121656000,91642700,83591600
"374","O00151","PDLI1_HUMAN","PDLIM1",NA,307198000,199069000,177052000,468972000,153118000,253728000,275830000,147399000,291083000,147451000,215535000,214059000,394924000,349170000,494203000,502226000,342211000,355799000,374377000,206518000,197557000,188469000,214768000,184347000,139807000,194986000,203895000
"375","O00154","BACH_HUMAN","ACOT7",NA,66045100,68641300,85469000,151547000,35318200,38499300,74987300,83821400,64746600,62529800,80111300,75242400,126559000,123459000,134600000,141805000,121251000,161700000,144133000,47379200,33863600,34778000,53845400,51464800,60473000,27529300,27267100
"376","O00159","MYO1C_HUMAN","MYO1C",NA,4491020,2800450,2981760,12787800,3465660,2332760,4673060,2760860,4051660,4518300,2463560,2726420,14717000,12229200,11883400,11035000,12145300,14329200,13911000,3089880,2614710,3112540,2954730,1133590,3525460,2252440,2698300
"377","O00160","MYO1F_HUMAN","MYO1F",NA,75044800,49024200,48752200,78228300,78286200,94363400,75188500,56645300,44518900,40551200,47164500,45751700,71985600,66791500,73140900,78598800,60147100,76389500,68448600,81447400,64133700,77028200,69906100,87965300,79588400,80100600,77800700
"378","O00161","SNP23_HUMAN","SNAP23",NA,63716300,50701400,67431300,81272000,64585100,64478400,57328400,57334400,81648700,63652000,53739000,57098500,85900300,84488300,112099000,86189600,88235600,66941600,65123600,62312500,55991700,53335300,53070700,56876200,58341800,51203800,56773000
"379","O00165","HAX1_HUMAN","HAX1",NA,16730300,12646400,24818900,11133600,7501720,7401090,14288500,14003600,19306200,12597100,11976800,11663700,8412590,10164700,10231400,11946800,10154900,9258790,8168390,7545540,7208650,7271990,8859740,7529520,7065750,6473180,6627830
"380","O00168","PLM_HUMAN","FXYD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98729.3,NA,NA,NA,NA,NA,NA,NA,NA
"381","O00170","AIP_HUMAN","AIP",NA,71243400,67202100,77179700,117443000,102420000,103358000,78030200,84387500,78410300,80419700,72375800,70325300,150732000,139212000,126898000,123524000,134759000,111401000,115394000,102443000,96370600,103460000,93619900,83653600,101654000,120334000,114520000
"382","O00175","CCL24_HUMAN","CCL24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1366060
"383","O00178","GTPB1_HUMAN","GTPBP1",NA,17683900,15979200,17065000,16400900,15113600,15836000,17804100,17514900,15709000,18369200,16579400,16553000,17677000,18109500,19727800,17351700,15917600,15833400,14998000,17149300,15820900,16382400,19944000,16215200,16394400,14357800,15270000
"384","O00180","KCNK1_HUMAN","KCNK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,837955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970130,NA,NA,NA,NA,NA,NA
"385","O00182","LEG9_HUMAN","LGALS9",NA,105848000,116792000,120144000,188594000,108560000,135034000,102490000,95156600,98388400,76169800,144776000,112496000,170721000,190734000,207011000,187420000,162379000,146881000,152655000,142148000,119428000,103476000,179995000,133225000,119326000,110557000,105204000
"386","O00186","STXB3_HUMAN","STXBP3",NA,48695400,45833600,36112500,41764700,39570300,43220800,44192900,46043000,39182200,41539000,47151900,44171600,37110900,40889500,39123500,33217400,37653600,37121100,39139800,41055800,44214600,39412700,37086200,43532200,39876100,37195700,37187800
"387","O00189","AP4M1_HUMAN","AP4M1",NA,3598980,3783680,NA,3150690,3449250,4183370,3074680,3992780,2812330,2160360,2364990,2064290,4173740,2904180,NA,3328460,2427020,3666750,3968150,4257100,3413000,4310230,4261240,2687160,3965060,4250560,2546370
"388","O00193","SMAP_HUMAN","SMAP",NA,40004400,40674500,46627200,61186400,22925900,46445600,38051900,46066000,37229300,29772000,53387600,44214200,40696500,58429900,82500500,75427000,45289800,42813500,45465000,48465700,23559600,29139200,39715200,40838900,40378100,30383000,28095800
"389","O00194","RB27B_HUMAN","RAB27B",NA,NA,NA,NA,NA,2840890,1865600,NA,NA,NA,NA,NA,NA,344945,368675,436371,NA,NA,NA,NA,601803,972481,1305630,2547920,1962970,2997210,1613670,1617790
"390","O00198","HRK_HUMAN","HRK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69528.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","O00203","AP3B1_HUMAN","AP3B1",NA,47854300,44937200,41417400,64322400,32966300,34573600,49967500,45281400,32498000,35277500,46845400,43479200,57746800,57678400,58309500,63617100,51671300,62424800,62839800,40401200,30554600,36543000,35731900,33517700,36555500,30798600,31367300
"392","O00213","APBB1_HUMAN","APBB1",NA,NA,NA,NA,1993000,8211660,9452240,NA,NA,NA,NA,NA,NA,862835,1254500,976650,NA,801132,1523550,1960610,10669800,11385800,10745600,7789540,5974320,7529350,9688020,9730960
"393","O00214","LEG8_HUMAN","LGALS8",NA,10354000,5213910,7253010,7536000,15935800,22314300,10359400,5874630,9772350,6216190,5553040,6483630,6424200,6300720,8424720,8738310,7536600,7344710,7453980,23383600,17686000,20759300,21535300,14009100,16088600,17560400,18127900
"394","O00217","NDUS8_HUMAN","NDUFS8",NA,115940000,127563000,115437000,83612000,93403200,99805300,106997000,120560000,113843000,112035000,126952000,118153000,70681800,73391000,65560600,66628300,80082800,70317400,74734800,73305100,83791700,95533400,65881800,80688300,79112500,102448000,87584700
"395","O00220","TR10A_HUMAN","TNFRSF10A",NA,1423000,1111570,987362,NA,1033860,1091550,1157000,1256900,1682980,1027170,733810,997219,NA,NA,239744,470763,NA,1508770,NA,931672,1552930,850203,NA,796512,1175760,1158680,1117530
"396","O00221","IKBE_HUMAN","NFKBIE",NA,6587220,5775830,7042070,4192800,13333300,8775560,6564050,5808370,7713410,6994370,5636740,6033080,5628260,5929700,6223060,6325750,5692410,4206710,4326000,9581260,9574300,8979800,11677200,9059180,11820400,8109930,8638240
"397","O00231","PSD11_HUMAN","PSMD11",NA,163837000,149427000,154837000,194736000,183267000,176262000,154493000,158225000,149613000,150270000,143201000,149551000,175846000,179857000,181354000,170398000,172201000,171923000,188951000,159814000,167511000,164706000,192159000,169584000,167254000,172005000,170330000
"398","O00232","PSD12_HUMAN","PSMD12",NA,105479000,111946000,121700000,147143000,121485000,116028000,125149000,125195000,93946900,95123500,118167000,114174000,130760000,137400000,158481000,145547000,133784000,151557000,134864000,143377000,96211700,108816000,151590000,160697000,153477000,100210000,100296000
"399","O00233","PSMD9_HUMAN","PSMD9",NA,59133700,58671700,65340200,68659000,44885200,50216900,52566300,67552600,57891600,50217400,70890400,57484300,70969500,75994000,91352300,84809000,65655100,56945100,49679700,50549600,54908000,45398500,49182200,48168900,43827100,39698800,40709200
"400","O00241","SIRB1_HUMAN","SIRPB1",NA,4723830,1872450,1214170,NA,6701520,12353700,3062450,1827200,3010670,2485440,1208480,1643690,3411160,3840590,2142530,NA,2168390,879546,NA,10593600,10676400,9074110,5760620,7904290,5161160,10210600,10846700
"401","O00244","ATOX1_HUMAN","ATOX1",NA,131941000,141605000,144432000,120080000,182786000,192407000,131109000,154494000,243543000,140416000,178555000,187047000,143432000,126573000,163743000,149804000,160423000,133263000,123292000,235056000,242933000,236397000,282509000,235517000,231292000,234801000,258164000
"402","O00255","MEN1_HUMAN","MEN1",NA,11810300,13119100,12112100,11695800,13844400,12918800,13586200,12360700,12479300,14084300,13022500,13325800,16329600,13802100,13698100,15835900,16436900,18459000,15731600,17570300,15521700,15383100,16345100,15552400,15160500,17256600,15280800
"403","O00257","CBX4_HUMAN","CBX4",NA,7612500,6156990,9274530,3527030,5649560,5235330,8876370,7454880,6333760,8053250,5983220,6631070,4600440,4613440,3907630,4160250,4839700,4671190,5217380,6049400,6920380,5881070,5372530,5698440,4711400,6441010,5839650
"404","O00258","GET1_HUMAN","GET1",NA,2934080,3470750,3960900,2849670,1643330,2831910,2825320,3078720,3011240,2270020,2984880,2813130,2025520,1970990,2251880,2986650,1860680,1942310,2058650,2237910,NA,NA,1992250,2296710,2249760,1784540,1720080
"405","O00264","PGRC1_HUMAN","PGRMC1",NA,58792400,55117500,64717700,58752600,77019700,69501200,54533300,49020900,45717000,52273000,56411400,52335500,64533100,59333300,81653700,55412400,65013900,59300600,59904100,68873000,52457200,59059000,72247300,78732200,73940500,57914900,59498300
"406","O00267","SPT5H_HUMAN","SUPT5H",NA,36193300,33346100,33938000,36824300,23470000,24339000,37783400,36153700,29525300,33153400,33021600,33023300,28576100,28289600,27134000,31728400,30450500,39378500,39342000,25679500,23648600,24684100,26335700,25251900,24633400,25259500,24995600
"407","O00268","TAF4_HUMAN","TAF4",NA,3987680,4204380,4580990,5893720,5172680,5110200,4163020,4076860,4187990,4459430,3987020,3976600,6603170,6026630,6926460,6865050,6664740,5978480,5660290,5487710,5073050,5481560,5420720,5013780,4967500,5342570,5658740
"408","O00273","DFFA_HUMAN","DFFA",NA,49463000,48099200,60446300,24776900,36005400,35071000,46531900,67385200,53342100,76546600,51666100,51128600,28501600,30031600,32520200,30677200,30170900,22273700,23492300,40684800,34020900,38471500,43382300,47929300,41932900,36948100,36086700
"409","O00287","RFXAP_HUMAN","RFXAP",NA,8275400,5512280,8767980,6359250,4641940,3835190,7303100,5584700,7635380,6759900,6448120,5031120,6950860,6107690,9238790,11873300,8481710,4737760,5463550,4296420,4486700,3881760,4315650,3254380,6319050,4718660,4763250
"410","O00291","HIP1_HUMAN","HIP1",NA,37104700,21536700,18415800,12032700,56597200,50492200,33339600,30389100,31358400,22810900,22814500,19502500,18786000,16089300,19206700,16741300,14513000,12149000,11948800,47920300,47837100,47900300,50889500,52116300,46681400,51959000,51874600
"411","O00299","CLIC1_HUMAN","CLIC1",NA,1505900000,1509200000,1302700000,956282000,1298750000,1137740000,1489930000,1667020000,1581600000,1504550000,1619840000,1573760000,1185050000,1163040000,1070600000,918295000,991655000,950776000,955919000,1154840000,1008540000,1239400000,1328660000,1397760000,1269610000,1180970000,1245720000
"412","O00303","EIF3F_HUMAN","EIF3F",NA,203761000,252515000,249732000,298798000,189146000,216055000,226113000,247592000,222897000,222432000,230439000,235627000,262022000,231252000,265929000,214003000,282623000,240674000,291330000,191131000,189024000,182473000,210103000,195908000,200328000,224483000,212654000
"413","O00308","WWP2_HUMAN","WWP2",NA,4282510,4392420,4838480,6387970,6507340,6240880,4693020,4961110,5248040,4828950,4961500,4294560,6323800,6026040,6151150,6094660,6809160,7061590,6340180,6408610,6114550,6260700,6566490,6370860,7161800,6199070,6122410
"414","O00311","CDC7_HUMAN","CDC7",NA,3147020,4112780,3239680,3551520,2654640,3305450,3126160,4332570,3848740,4395690,4936250,4143030,3030610,4386820,NA,NA,3611230,4917980,4948330,3079490,3827980,2850120,2657040,3034540,2620040,3685710,3597950
"415","O00329","PK3CD_HUMAN","PIK3CD",NA,15337700,14717400,13707300,20298800,14276900,11980900,14023000,15811100,19273300,14625400,14947600,14756200,21130600,20574300,21387300,23921600,19448500,21700600,20254600,12781100,11015700,12598000,11621400,13772500,14026300,10308500,11130200
