"","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"P05164",0.92608,0.95724,0.9138,0.87606,0.86436,0.87837,0.9203,0.95704,0.93824,0.94348,0.96653,0.96767,0.87622,0.87381,0.8754,0.90576,0.87498,0.89613,0.90972,0.881253976920096,0.893693376872323,0.887991096499441,0.88679,0.88035,0.89879,0.88854
"P05165",0.9964,1.01035,0.98214,1.02376,0.97946,0.97861,1.00095,0.99576,0.97653,0.99151,1.0055,1.00377,1.02216,1.01428,1.01023,1.01509,0.99585,1.02217,1.01746,0.96315,0.96837,0.97355,0.97292,0.95031,0.9692,0.9723
"P05166",1.00126,1.02016,0.99975,1.02672,0.98315,0.99083,1.00831,1.00762,0.98905,1.00015,1.01339,1.00972,1.03039,1.02128,1.01309,1.0229,1.00779,1.02495,1.01944,0.97456,0.96613,0.97844,0.98227,0.96557,0.97296,0.97328
"P05198",1.18902,1.19656,1.19774,1.17812,1.17115,1.18554,1.19408,1.19847,1.16107,1.19868,1.19467,1.19487,1.18076,1.1749,1.17745,1.1734,1.17991,1.17961,1.18207,1.18708,1.18574,1.18715,1.18545,1.17459,1.18712,1.18582
"P05204",1.03483,1.03118,1.04864,1.0298,1.02824,1.09616,1.03855,1.0515,1.04827,1.05234,1.04958,1.04538,1.03609,1.02766,1.03747,1.04834,1.09511,1.03323,1.04887,1.03358,1.0372,1.03826,1.05347,1.02183,1.03821,1.04664
"P05387",1.33358,1.32748,1.34226,1.34514,1.31949,1.32741,1.34208,1.34358,1.33006,1.33256,1.35176,1.34755,1.3317,1.3386,1.3557,1.34526,1.33734,1.33008,1.3342,1.34447,1.33453,1.32967,1.34308,1.33879,1.33335,1.32671
"P05388",1.2454,1.24909,1.24779,1.25573,1.22108,1.24326,1.24635,1.2393,1.23644,1.23306,1.24436,1.24534,1.24,1.23632,1.24248,1.24054,1.24294,1.24951,1.25321,1.24164,1.21947,1.22829,1.24124,1.2444,1.23333,1.22712
"P05412",1.01413,1.00216,0.98558,1.01992,0.97381,0.97206,1.00484,1.02319,1.01333,1.01721,1.00607,1.01588,1.01309,1.00532,1.03172,1.01602,1.02198,1.01613,1.01236,0.98856,0.94859,0.98305,0.98809,1.01224,0.99445,0.99051
"P05423",0.99548,0.99076,1.00008,0.97738,0.99643,0.98442,0.99529,0.99633,1.00985,0.99951,0.99706,0.99124,0.97709,0.97949,0.976,0.97815,0.97963,0.97768,0.9835,0.99308,0.99465,0.99125,0.98982,1.0013,0.99532,0.98052
"P05455",1.21727,1.22356,1.22219,1.21049,1.21176,1.20399,1.22479,1.22579,1.22544,1.22731,1.21788,1.22295,1.21176,1.20836,1.20642,1.20817,1.21376,1.21369,1.21153,1.20688,1.21243,1.20809,1.21136,1.21411,1.21291,1.20973
"P05556",1.10628,1.09791,1.1042,1.08032,1.06948,1.06038,1.10143,1.10837,1.09001,1.09718,1.10245,1.10717,1.08732,1.08697,1.08999,1.08027,1.08149,1.07464,1.0809,1.04763,1.03728,1.04208,1.08949,1.06623,1.0591,1.05536
"P05771",1.00491,0.97574,0.97505,0.94402,0.97876,0.96934,0.99022,0.98867,0.97235,0.98357,0.97105,0.97491,0.96932,0.97046,0.96782,0.96782,0.97325,0.96526,0.96021,0.99071,0.9887,0.99348,0.9884,0.98787,0.96998,0.96189
"P06132",1.08964,1.09563,1.08771,1.1271,1.10109,1.09971,1.0861,1.09392,1.08742,1.08697,1.09538,1.09367,1.128,1.12359,1.12126,1.11453,1.11316,1.12092,1.12292,1.09479,1.08875,1.10269,1.10067,1.09743,1.09674,1.09721
"P06213",1.0022,0.99263,0.98455,0.95502,0.95845,0.97383,0.99821,0.99624,0.97184,0.97676,0.99175,0.99345,0.9527,0.9559,0.96456,0.97412,0.96717,0.95085,0.95048,0.95192,0.95697,0.95092,0.95398,0.95112,0.96079,0.95408
"P06241",0.94403,0.94927,0.951027301405314,0.95319,1.0117,1.0156,0.9554,0.94614,0.94979,0.97358,0.96199,0.95824,0.99048,1.00066,0.98574,0.97338,0.96478,0.9611,0.95759,1.01844,1.02355,1.01127,1.01896,1.00936,0.99688,0.99743
"P06280",1.09336,1.07649,1.05727,1.07482,1.08099,1.0839,1.08611,1.07772,1.07849,1.06546,1.07329,1.07385,1.07813,1.07881,1.07978,1.06377,1.08059,1.06622,1.07394,1.07513,1.08121,1.0722,1.07751,1.06866,1.08084,1.07395
"P06396",1.15438,1.14779,1.1182,1.12507,1.18708,1.15676,1.15149,1.12554,1.15567,1.11956,1.14488,1.14983,1.2037,1.19754,1.19135,1.15636,1.15896,1.13135,1.12709,1.15104,1.14891,1.1609,1.20156,1.16817,1.15242,1.14826
"P06400",1.05518,1.06238,1.08487,1.03541,0.9981,1.02891,1.06407,1.07096,1.046,1.06632,1.05892,1.06009,1.04176,1.043,1.04342,1.03713,1.04703,1.03624,1.03628,1.01712,1.00909,1.00066,1.01115,1.00533,1.02674,1.02606
"P06454",1.16217,1.16997,1.18372,1.17406,1.16381,1.18912,1.16641,1.16897,1.1721,1.14735,1.18213,1.18337,1.16818,1.16571,1.18815,1.18122,1.17525,1.16188,1.15671,1.1809,1.16896,1.16381,1.1814,1.18515,1.17562,1.17596
"P06493",1.13809,1.1419,1.15607,1.15408,1.11463,1.1464,1.14373,1.15722,1.15201,1.14627,1.13271,1.13167,1.14042,1.14304,1.14467,1.13222,1.14944,1.15108,1.16233,1.13021,1.13042,1.13322,1.11895,1.12457,1.14618,1.1492
"P06576",1.30388,1.32794,1.27786,1.32219,1.31118,1.31547,1.3076,1.29339,1.32174,1.28874,1.32604,1.3276,1.31891,1.32114,1.31629,1.31293,1.31247,1.31341,1.31889,1.30815,1.30979,1.32065,1.30987,1.30707,1.32244,1.31839
"P06730",1.163,1.16674,1.15623,1.14999,1.17244,1.16168,1.16389,1.15462,1.18023,1.17865,1.15967,1.16516,1.17308,1.16363,1.15419,1.15482,1.16792,1.16223,1.1702,1.16736,1.16739,1.16812,1.15888,1.16801,1.17629,1.17331
"P06733",1.35688,1.36162,1.35227,1.34452,1.31261,1.32006,1.35823,1.36448,1.34901,1.35511,1.36342,1.36601,1.34465,1.34497,1.34202,1.34585,1.34569,1.34456,1.34736,1.31749,1.30418,1.31188,1.32741,1.32306,1.31933,1.31512
"P06737",1.19529,1.18503,1.18999,1.18767,1.1779,1.21778,1.19711,1.20044,1.17753,1.18857,1.18777,1.18577,1.16569,1.16696,1.16961,1.17426,1.16986,1.18652,1.18181,1.19874,1.18393,1.19432,1.21917,1.18933,1.20674,1.1986
"P06744",1.24172,1.24558,1.24455,1.27599,1.23756,1.25964,1.24367,1.23442,1.21391,1.22573,1.2372,1.23713,1.23874,1.23713,1.24012,1.25366,1.2405,1.26898,1.26877,1.2452,1.22734,1.23666,1.25417,1.25196,1.24106,1.23448
"P06746",0.99938,0.97871,0.9935,0.93229,0.95937,0.93925,0.99555,0.99304,0.9853,0.99448,0.98105,0.97946,0.96183,0.93568,0.94641,0.94757,0.93767,0.95207,0.94234,0.94022,0.9566,0.95703,0.95629,0.95398,0.93532,0.93131
"P06748",1.33868,1.35802,1.35827,1.32209,1.32935,1.32857,1.3365,1.35491,1.3555,1.35594,1.37142,1.36407,1.31096,1.32186,1.32663,1.32231,1.32275,1.31613,1.31891,1.33235,1.3284,1.33002,1.34179,1.34003,1.33387,1.32839
"P06753",1.21103,1.1733,1.20555,1.19154,1.19385,1.20441,1.21486,1.18969,1.20113,1.17345,1.17459,1.19346,1.19004,1.19198,1.22426,1.22524,1.21542,1.1881,1.18628,1.20883,1.19631,1.18394,1.2137,1.21267,1.18906,1.18013
"P06865",1.10666,1.0987,1.10844,1.1006,1.12005,1.11959,1.10278,1.09732,1.09287,1.11277,1.09777,1.10174,1.10106,1.09678,1.09766,1.08958,1.09026,1.1002,1.0967,1.10356,1.09704,1.11283,1.13336,1.1217,1.11273,1.11255
"P07099",1.07771,1.06781,1.04831,1.05268,0.99843,1.02992,1.0745,1.05344,1.07638,1.04626,1.06194,1.06793,1.07119,1.06434,1.06737,1.05249,1.05418,1.04917,1.04794,1.01807,1.0039,1.00516,0.99661,0.99916,1.0263,1.01963
"P07108",1.20763,1.19298,1.19846,1.23177,1.19974,1.23672,1.20355,1.1796,1.19399,1.14878,1.18827,1.18856,1.20741,1.21293,1.242,1.22142,1.2155,1.20563,1.21025,1.22172,1.18336,1.20054,1.2235,1.20474,1.20684,1.20596
"P07195",1.31036,1.3083,1.31358,1.29921,1.30702,1.31067,1.31542,1.3155,1.32344,1.31069,1.31707,1.31157,1.29611,1.30333,1.30126,1.29257,1.29665,1.30236,1.30386,1.30819,1.29914,1.30988,1.31181,1.31402,1.30607,1.30935
"P07199",1.01461,1.02131,1.00826,0.98553,0.99772,1.00928,1.025,1.01111,1.01468,1.02191,1.00415,1.00333,0.99958,0.99515,0.983,0.98701,0.99662,1.00397,1.00397,1.00519,1.00933,1.00993,1.00313,0.99354,1.02084,1.01416
"P07203",1.15304,1.14399,1.19364,1.25223,1.1782,1.17049,1.15272,1.13629,1.15184,1.14432,1.13347,1.14254,1.25638,1.25565,1.2599,1.2566,1.25262,1.24665,1.24873,1.15791,1.17052,1.17024,1.18257,1.17589,1.1716,1.17067
"P07204",0.96562,0.95672,0.97798,0.97809,0.98935,0.9889,0.95724,0.95308,0.90892,0.92623,0.95345,0.96431,0.98546,0.96102,0.99244,0.97587,0.95506,0.97563,0.97402,1.01799,0.99585,0.99779,0.95512,1.00632,0.9932,0.98466
"P07237",1.27971,1.27383,1.26805,1.32062,1.29642,1.32272,1.27789,1.26399,1.26684,1.25942,1.27391,1.27977,1.31138,1.3105,1.31495,1.31749,1.31533,1.31638,1.32001,1.30611,1.30022,1.30319,1.32264,1.31515,1.31807,1.31411
"P07311",1.04125,1.05181,1.05314,1.06093,1.06047,1.07946,1.05675,1.05744,0.99944,1.04974,1.05722,1.04937,1.0556,1.06558,1.06735,1.05782,1.06085,1.05812,1.06397,1.07371,1.08322,1.08609,1.06294,1.0413,1.08646,1.09005
"P07332",0.97982,0.97301,0.95826,0.98669,0.93624,0.92797,0.97977,0.94861,0.95505,0.96377,0.97365,0.97266,1.0134,1.00725,1.00632,0.99199,0.99463,0.98835,0.98613,0.90843,0.91524,0.93074,0.93431,0.92274,0.92401,0.92371
"P07339",1.16458,1.13744,1.13015,1.21481,1.19254,1.18605,1.16591,1.14564,1.16816,1.15359,1.13551,1.14203,1.21909,1.20991,1.21377,1.20802,1.20982,1.21261,1.2146,1.17943,1.18702,1.18895,1.19708,1.19698,1.19103,1.18726
"P07355",1.19597,1.18745,1.20304,1.22071,1.17592,1.17065,1.19596,1.1827,1.14924,1.20632,1.18849,1.18807,1.22413,1.21912,1.21825,1.22374,1.21552,1.22053,1.22324,1.18354,1.16769,1.17363,1.15982,1.17373,1.17176,1.17164
"P07384",1.11154,1.10572,1.09898,1.1166,1.11009,1.11175,1.11249,1.09956,1.10892,1.08771,1.10834,1.10712,1.11688,1.11508,1.12217,1.1193,1.10376,1.11586,1.10922,1.10433,1.09451,1.09652,1.12191,1.11689,1.09741,1.09306
"P07437",1.33976,1.34079,1.35287,1.33452,1.34246,1.3563,1.33134,1.34048,1.3412,1.34008,1.33244,1.33283,1.33587,1.33498,1.33282,1.33493,1.34401,1.32938,1.33252,1.33986,1.33847,1.33876,1.34101,1.3387,1.35447,1.34865
"P07438",0.71369,0.73737,0.76109,0.84596,0.67493,0.69006,0.71511,0.74926,0.71903,0.78125,0.72686,0.72973,0.88734,0.84908,0.87051,0.86208,0.85277,0.84889,0.85119,0.69527,0.68072,0.67875,0.68014,0.69506,0.67602,0.67444
"P07602",1.20251,1.16576,1.16727,1.15301,1.14595,1.15693,1.1942,1.15794,1.17093,1.13744,1.1747,1.17148,1.14398,1.14318,1.16735,1.17162,1.13857,1.13967,1.13651,1.14047,1.11916,1.12397,1.15502,1.15588,1.14604,1.14115
"P07686",1.14703,1.15176,1.13593,1.11946,1.17623,1.17471,1.13911,1.13508,1.13711,1.13658,1.14845,1.15613,1.13394,1.12051,1.12706,1.12108,1.12692,1.12251,1.12059,1.16767,1.16395,1.17727,1.16044,1.16795,1.17396,1.17613
"P07737",1.34529,1.34907,1.35086,1.36087,1.36795,1.3686,1.35164,1.35775,1.34777,1.33595,1.36798,1.34845,1.35798,1.37809,1.36601,1.36678,1.35369,1.35693,1.3613,1.37061,1.36346,1.36861,1.37518,1.36838,1.36635,1.3631
"P07738",0.91726,0.91201,0.91347,0.85775,0.91467,0.92588,0.89688,0.90831,0.90936,0.9097,0.89059,0.88627,0.88443,0.8329,0.85057,0.8643,0.8705,0.874,0.85981,0.91137,0.91813,0.90854,0.91382,0.92335,0.92391,0.91215
"P07741",1.19467,1.19479,1.19099,1.2162,1.20596,1.19922,1.19381,1.18936,1.20851,1.19704,1.19025,1.19916,1.22269,1.2198,1.21777,1.22351,1.21827,1.20491,1.21792,1.19776,1.19981,1.19068,1.19702,1.20443,1.19469,1.20115
"P07814",1.22387,1.21204,1.21382,1.19191,1.21481,1.218,1.22932,1.21631,1.22361,1.21144,1.20942,1.20846,1.18648,1.18737,1.18986,1.19083,1.18641,1.18658,1.18904,1.2139,1.20544,1.21032,1.20979,1.22486,1.21344,1.21064
"P07858",1.12943,1.1267,1.11909,1.11212,1.18259,1.13642,1.11362,1.11925,1.14071,1.14114,1.1173,1.12027,1.11114,1.09255,1.10006,1.09877,1.10381,1.11634,1.1215,1.13359,1.13974,1.1512,1.15227,1.16202,1.14837,1.14935
"P07900",1.35953,1.36685,1.37447,1.37135,1.34993,1.37192,1.36108,1.37135,1.33917,1.36398,1.36285,1.35985,1.36261,1.36679,1.36443,1.36294,1.36828,1.3588,1.36058,1.37294,1.37194,1.36932,1.36627,1.35468,1.3696,1.3672
"P07902",0.98159,0.98637,0.99222,1.03261,1.03335,1.03206,0.98844,0.97874,0.99675,0.97086,0.97935,0.97863,1.04198,1.03867,1.0413,1.04534,1.03183,1.03175,1.0298,1.03237,1.03306,1.03466,1.03459,1.02269,1.03171,1.02755
"P07910",1.25717,1.26469,1.26436,1.25367,1.22718,1.24532,1.26554,1.24836,1.24905,1.25325,1.27012,1.26271,1.25123,1.25564,1.25317,1.26186,1.26047,1.26156,1.25266,1.24678,1.23618,1.24066,1.25308,1.23785,1.23756,1.23317
"P07919",1.23245,1.22843,1.21248,1.21011,1.23778,1.23331,1.2084,1.19879,1.22428,1.20323,1.20686,1.21771,1.20633,1.18724,1.20789,1.20212,1.20746,1.19536,1.20502,1.23054,1.20582,1.2187,1.21131,1.22808,1.20928,1.22053
"P07947",0.93218,0.92579,0.94291,0.93198,0.92162,0.933182217282919,0.93726,0.92819,0.8669,0.92241,0.92828,0.92597,0.94366,0.94127,0.93942,0.91624,0.93846,0.93461,0.93628,0.938,0.92634,0.94025,0.931961935084411,0.93001,0.93618,0.92135
"P07948",1.12508,1.11917,1.11451,1.10988,1.11689,1.11611,1.12832,1.11886,1.10326,1.09815,1.12046,1.11775,1.10082,1.10195,1.10824,1.10834,1.09946,1.10202,1.0988,1.12296,1.1117,1.11487,1.13125,1.11647,1.10811,1.10419
"P07954",1.18723,1.18067,1.17903,1.18333,1.20544,1.21204,1.18751,1.18546,1.20439,1.17122,1.18157,1.17306,1.17075,1.18128,1.16891,1.17034,1.16432,1.16826,1.16762,1.1969,1.21303,1.20927,1.1851,1.19178,1.22244,1.21498
"P07992",0.97312,0.96859,0.96298,0.9527,0.98761,0.99236,0.97195,0.97372,0.96848,0.98806,0.97198,0.97896,0.97068,0.9619,0.96582,0.962,0.97002,0.97501,0.97449,1.00022,1.00332,0.99671,0.99384,0.9869,1.00453,1.00387
"P08047",1.0642,1.06385,1.06117,1.06486,1.06436,1.06185,1.0531,1.06973,1.06373,1.05706,1.06636,1.0626,1.05597,1.05955,1.0638,1.0636,1.05879,1.0546,1.05854,1.05563,1.05609,1.05322,1.06246,1.05073,1.06068,1.05658
"P08133",0.95027,0.99837,0.97591,1.20594,1.197,1.20646,0.93908,1.02337,1.05423,1.03472,0.99744,1.00366,1.21827,1.21288,1.21504,1.21619,1.22023,1.20517,1.20905,1.2113,1.19908,1.21114,1.19934,1.20236,1.20229,1.19929
"P08195",1.21388,1.20441,1.20682,1.19602,1.19086,1.18778,1.21164,1.21426,1.20371,1.20942,1.20842,1.20853,1.19171,1.19267,1.20443,1.19835,1.2033,1.18913,1.19041,1.20045,1.19601,1.1935,1.19674,1.19618,1.19171,1.1853
"P08236",1.03822,1.03168,1.02545,1.07019,1.00843,1.04562,1.02774,1.01812,1.02742,1.01735,1.03582,1.03961,1.05737,1.0516,1.06295,1.07801,1.05783,1.06896,1.06955,1.0222,1.02113,1.02463,1.03269,1.02014,1.04502,1.04553
"P08238",1.32131,1.32468,1.33209,1.31604,1.33443,1.33957,1.32493,1.3278,1.33381,1.32275,1.32462,1.32444,1.31151,1.31,1.31336,1.30695,1.31387,1.31108,1.31701,1.35269,1.33434,1.33769,1.33882,1.35026,1.34064,1.33716
"P08240",1.08227,1.08834,1.09116,1.10391,1.12523,1.10316,1.08546,1.08196,1.08906,1.08728,1.09031,1.0874,1.09884,1.10302,1.09982,1.09658,1.09301,1.09925,1.09769,1.10571,1.10261,1.10232,1.10783,1.11857,1.10643,1.10527
"P08243",1.17518,1.15562,1.18471,1.09186,1.08561,1.10694,1.17637,1.1721,1.15722,1.13991,1.14809,1.14952,1.05842,1.06227,1.0753,1.10749,1.08434,1.10017,1.07125,1.11145,1.11058,1.09845,1.12098,1.11234,1.09744,1.09472
"P08246",1.04434,1.08547,1.02323,0.96764,0.95727,0.86147,1.05274,1.03867,0.90909,1.00663,1.0864,1.0835,0.88733,0.94213,0.90657,0.940564358163761,0.88592,0.9733,0.96781,0.954389050189456,0.954828128823496,0.958162359243594,0.99014,1.0264,0.953112367902963,0.8913
"P08311",0.99671,0.99595,1.05659,1.15429,1.16578,1.17082,0.99954,1.0464,0.83792,1.02442,1.00374,1.00471,1.1705,1.17966,1.16772,1.12693,1.14952,1.1496,1.15695,1.11501,1.11133,1.10244,1.1506,1.16367,1.18163,1.176
"P08397",1.05512,1.05801,1.07011,1.05364,1.04697,1.06757,1.05896,1.06124,1.05396,1.06763,1.05157,1.04914,1.04394,1.05236,1.05732,1.05049,1.0463,1.04648,1.04616,1.04875,1.05008,1.06611,1.0565,1.04105,1.05683,1.05732
"P08559",1.13071,1.14581,1.12488,1.12964,1.13825,1.12968,1.13102,1.1281,1.14318,1.1238,1.13186,1.13526,1.12591,1.11647,1.11173,1.11352,1.11443,1.13364,1.13306,1.11862,1.12395,1.13269,1.12499,1.13385,1.12818,1.11953
"P08567",1.12538,1.10607,1.11859,1.12938,1.10709,1.10702,1.12501,1.1118,1.09459,1.10636,1.09994,1.10092,1.11321,1.11802,1.12139,1.12097,1.11393,1.12462,1.12856,1.09916,1.07454,1.08777,1.12667,1.12677,1.09215,1.09164
"P08574",1.14604,1.16319,1.14053,1.1354,1.16255,1.15871,1.14196,1.14353,1.15364,1.13233,1.14752,1.15085,1.13243,1.13114,1.12659,1.12141,1.12133,1.13333,1.1363,1.14985,1.15413,1.15881,1.13704,1.15159,1.15198,1.14734
"P08575",1.16406,1.12122,1.11969,1.09188,1.19083,1.20329,1.15879,1.12411,1.15688,1.10653,1.12162,1.11934,1.10185,1.10389,1.10788,1.08627,1.09074,1.08283,1.08157,1.19924,1.1944,1.19326,1.19421,1.18868,1.19216,1.1878
"P08579",1.15812,1.1557,1.16428,1.14583,1.15412,1.15332,1.15952,1.15402,1.15983,1.1673,1.1556,1.15511,1.14715,1.15563,1.14892,1.14582,1.14974,1.1488,1.14694,1.15728,1.16158,1.16182,1.16092,1.15329,1.15271,1.16508
"P08621",1.18409,1.18058,1.17913,1.17793,1.17916,1.18033,1.18831,1.17764,1.17376,1.18878,1.1916,1.19278,1.18482,1.18199,1.18545,1.18278,1.18178,1.1853,1.18714,1.18127,1.18917,1.18531,1.18315,1.17962,1.1878,1.18437
"P08631",1.06988,1.03063,1.02649,1.09058,1.08737,1.05488,1.06945,1.04079,1.03933,1.03974,1.03314,1.02835,1.0888,1.08686,1.08829,1.09576,1.07472,1.08743,1.08711,1.07331,1.06513,1.07046,1.07665,1.07739,1.05186,1.04699
"P08648",1.10083,1.08055,1.09375,1.09732,1.07244,1.07543,1.09768,1.08949,1.0637,1.08933,1.08585,1.08564,1.10339,1.09999,1.10284,1.09414,1.10029,1.09688,1.09926,1.06519,1.05885,1.06183,1.08672,1.06658,1.08151,1.07671
"P08651",1.01392,1.0164,1.01704,0.98823,0.99757,0.98211,1.01585,1.00586,0.98064,1.01566,1.02311,1.01255,0.97793,0.99596,0.99361,0.99323,0.98665,0.99157,0.98488,0.99496,0.9793,0.97785,1.00678,0.98814,0.98172,0.97463
"P08670",1.23168,1.26461,1.26955,1.24905,1.29173,1.30803,1.2358,1.25919,1.2286,1.26941,1.26825,1.26497,1.28743,1.27566,1.27821,1.2506,1.22062,1.24979,1.24659,1.30395,1.28619,1.30014,1.28109,1.27926,1.31371,1.30843
"P08697",1.0167,1.01062,0.98249,1.02306,1.02085,1.00984,0.99275,0.98568,0.97883,0.97599,0.99811,1.01634,0.99119,0.97684,0.98324,0.98699,0.9918,1.029,1.01655,1.02404,1.0183,1.01827,0.99114,0.9987,1.0179,1.01929
"P08708",1.25365,1.25783,1.25814,1.25862,1.24464,1.25601,1.25288,1.24705,1.24479,1.2447,1.25703,1.25697,1.24856,1.25663,1.25546,1.25449,1.25348,1.25111,1.25657,1.25215,1.24787,1.2458,1.25237,1.24661,1.25447,1.25026
"P08754",0.96801,0.97,0.96332,0.96752,0.93294,0.9689,0.96578,0.95705,0.95066,0.936,0.95991,0.97028,0.93892,0.92522,0.95228,0.95341,0.94729,0.96455,0.95665,0.97417,0.92996,0.93016,0.97949,0.98662,0.93839,0.92302
"P08758",1.17125,1.14094,1.13637,1.11146,1.21514,1.20987,1.16541,1.13482,1.17132,1.1552,1.14081,1.14267,1.14092,1.12178,1.12123,1.10552,1.1118,1.10605,1.11211,1.20274,1.2109,1.21533,1.20172,1.21089,1.21268,1.21583
"P08865",1.13967,1.14707,1.14753,1.15365,1.20058,1.15947,1.15072,1.12236,1.14877,1.17271,1.10412,1.15137,1.13944,1.13685,1.11678,1.13572,1.13812,1.13898,1.14196,1.14702,1.19968,1.20267,1.14542,1.14832,1.14885,1.18338
"P08887",0.84956,0.83458,0.82647,0.82835,0.86461,0.88339,0.84612,0.845639584565152,0.89252,0.851695553196793,0.82933,0.8259,0.858095327456283,0.83907,0.8495,0.8656,0.85466,0.851276037528175,0.84893,0.88297,0.86989,0.87842,0.87281,0.87759,0.90021,0.89018
"P08962",1.15829,1.13463,1.14672,1.18287,1.14723,1.16431,1.15508,1.13903,1.12891,1.12732,1.14598,1.13657,1.18517,1.18477,1.20533,1.19562,1.18209,1.17754,1.18101,1.17947,1.16664,1.17282,1.16802,1.15392,1.16741,1.16353
"P09001",1.03516,1.05678,1.0541,1.06768,1.03574,1.03014,1.05149,1.0587,1.0506,1.04249,1.05327,1.04241,1.06023,1.05953,1.04782,1.05981,1.04791,1.07484,1.0726,1.01611,1.02771,1.01977,1.02335,1.03172,1.02961,1.01996
"P09012",1.09355,1.11029,1.09918,1.10411,1.09374,1.11322,1.09821,1.09502,1.08985,1.10136,1.09805,1.09464,1.09793,1.09958,1.10177,1.10323,1.09857,1.10371,1.09646,1.09382,1.09032,1.09355,1.10232,1.09107,1.10803,1.09915
"P09086",1.03613,1.02634,1.01546,1.01941,1.0273,1.0383,1.03114,1.01887,1.01954,1.01859,1.01631,1.01904,1.02075,1.02421,1.01927,1.016,1.02657,1.01587,1.01931,1.02461,1.02944,1.01512,1.02522,1.01467,1.03154,1.02901
"P09110",1.03473,1.047,1.03477,1.06318,1.05286,1.03393,1.03978,1.03676,1.03723,1.03975,1.04185,1.04423,1.06761,1.06536,1.05164,1.0533,1.04506,1.0581,1.05916,1.03981,1.04386,1.04412,1.0608,1.04765,1.03435,1.02856
"P09132",1.08548,1.08052,1.07791,1.0692,1.05863,1.0775,1.07367,1.07034,1.08147,1.08823,1.07181,1.07463,1.08079,1.08076,1.08089,1.07309,1.08343,1.07709,1.06527,1.07539,1.08272,1.07352,1.0681,1.05977,1.07403,1.07348
"P09211",1.16175,1.1564,1.1433,1.21152,1.20416,1.20439,1.1669,1.14135,1.17274,1.1343,1.15976,1.15453,1.23567,1.23087,1.23268,1.22454,1.22225,1.2142,1.21338,1.20969,1.20336,1.20451,1.21412,1.22086,1.21287,1.20511
"P09234",1.21162,1.19965,1.20436,1.20072,1.1794,1.20097,1.19967,1.20801,1.18758,1.19999,1.20216,1.20855,1.18106,1.16613,1.19688,1.18506,1.19162,1.1875,1.19161,1.19572,1.17656,1.18548,1.19501,1.18809,1.1858,1.18729
"P09382",1.32353,1.32012,1.31833,1.33026,1.31856,1.31782,1.30506,1.31755,1.27622,1.29662,1.32047,1.31618,1.33474,1.33966,1.33872,1.33659,1.32286,1.31759,1.31576,1.29441,1.27094,1.28994,1.32224,1.30492,1.3099,1.29774
"P09417",1.06728,1.07536,1.07017,1.06646,1.07457,1.08041,1.06658,1.06874,1.06651,1.0655,1.07365,1.06818,1.05895,1.05507,1.05074,1.05421,1.0503,1.06435,1.06028,1.07366,1.06907,1.06959,1.07576,1.07762,1.07227,1.07006
"P09429",1.24407,1.24822,1.24838,1.22231,1.20323,1.22646,1.24085,1.246,1.23651,1.25126,1.24112,1.24767,1.21758,1.21487,1.22445,1.21556,1.22848,1.21132,1.21657,1.2196,1.21571,1.22483,1.22481,1.21075,1.22585,1.23178
"P09493",1.27649,1.23602,1.26718,1.26289,1.26579,1.25777,1.26731,1.24926,1.29499,1.26246,1.24171,1.2477,1.26529,1.24947,1.27618,1.30105,1.28751,1.24375,1.25899,1.26946,1.27174,1.26284,1.27233,1.28459,1.27749,1.24866
"P09496",1.1477,1.1383,1.1552,1.16906,1.1646,1.15866,1.16583,1.1561,1.16131,1.15807,1.1475,1.15698,1.1782,1.17126,1.1936,1.17821,1.17954,1.16373,1.1692,1.18724,1.17102,1.18235,1.18709,1.20087,1.17043,1.16806
"P09497",1.12897,1.13011,1.12786,1.13081,1.12816,1.12878,1.122,1.13175,1.13846,1.12701,1.13781,1.13793,1.11894,1.11267,1.13715,1.13155,1.11901,1.11293,1.11446,1.13691,1.12565,1.12616,1.13526,1.13626,1.12375,1.11877
"P09525",1.11285,1.10224,1.10799,1.0861,1.09165,1.10433,1.11433,1.08674,1.10021,1.09205,1.10623,1.10532,1.10116,1.09402,1.09809,1.10244,1.08424,1.08987,1.08907,1.10317,1.08867,1.1085,1.10528,1.11616,1.10333,1.10023
"P09543",1.06308,1.0597,1.05954,1.08257,1.08566,1.07818,1.06318,1.06265,1.06529,1.06904,1.06393,1.06368,1.08255,1.07904,1.08038,1.08083,1.07812,1.08299,1.08457,1.07734,1.08154,1.08121,1.08194,1.07612,1.07753,1.07696
"P09622",1.15627,1.16116,1.14809,1.14855,1.15397,1.15193,1.14792,1.14351,1.15623,1.14237,1.15494,1.15409,1.14368,1.1453,1.14019,1.14001,1.13823,1.14885,1.14639,1.14208,1.14223,1.13943,1.14727,1.14813,1.14537,1.14096
