"","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"Q9Y3E5",1.05452,1.0637,1.06188,1.06602,1.05599,1.0371,1.05518,1.05429,1.02309,1.05918,1.07478,1.05903,1.06575,1.06713,1.07483,1.06947,1.06141,1.05621,1.06639,1.05102,1.04191,1.05351,1.06216,1.04222,1.0271,1.02139
"Q9Y3E7",0.94874,0.95092,0.9475,0.98119,0.95489,0.94705,0.94322,0.94371,0.93272,0.94307,0.94193,0.93832,0.99022,0.97786,0.98278,0.96808,0.99504,1.00334,1.00408,0.96932,0.97009,0.95991,0.93589,0.95512,0.96288,0.96162
"Q9Y3F4",1.1897,1.19273,1.19903,1.19605,1.17484,1.18006,1.18875,1.19172,1.1848,1.18673,1.18524,1.18679,1.18747,1.19135,1.19084,1.18514,1.19139,1.18635,1.19463,1.17311,1.17384,1.17213,1.17771,1.1798,1.17689,1.17397
"Q9Y3I0",1.16482,1.16488,1.16762,1.15452,1.14732,1.15362,1.16299,1.16577,1.16426,1.16898,1.16219,1.16758,1.15691,1.15912,1.15203,1.15158,1.15443,1.15309,1.15939,1.1524,1.15104,1.15374,1.15236,1.15474,1.15915,1.15531
"Q9Y3I1",0.97789,0.98479,0.97807,0.99638,0.97745,0.98445,0.97929,0.98829,0.98986,0.98015,0.99112,0.98784,0.99649,0.99205,0.99975,0.98835,0.992,1,0.99633,0.98606,0.97404,0.98094,0.99301,0.99464,0.99158,0.98549
"Q9Y3L3",1.09292,1.07607,1.06984,1.07047,1.11549,1.08451,1.08762,1.08137,1.09394,1.08774,1.07433,1.07715,1.101,1.09374,1.09035,1.07927,1.08738,1.0792,1.07519,1.10248,1.10286,1.11016,1.10345,1.10058,1.08727,1.08645
"Q9Y3L5",0.95725,0.95296,0.95681,0.95155,0.97233,0.95408,0.95992,0.9462,0.94766,0.95013,0.95557,0.95122,0.93928,0.9336,0.94072,0.93964,0.94603,0.94064,0.94215,0.96655,0.96045,0.96141,0.98834,0.97264,0.95346,0.96089
"Q9Y3P9",0.96662,0.96041,0.96838,0.98789,0.9889,0.9825,0.96502,0.96741,0.97256,0.96861,0.95934,0.96489,0.99149,0.98205,0.98579,0.97988,0.98598,0.99188,0.99254,0.98619,0.98333,0.98484,0.98525,0.99151,0.97932,0.9712
"Q9Y3Q3",1.02274,0.9995,1.00888,1.05693,1.01862,1.03577,1.00286,0.98077,0.98248,1.02441,0.99452,1.00335,1.05837,1.04354,1.05051,1.05237,1.06011,1.06328,1.07704,1.04197,1.04096,1.05,1.00142,1.00607,1.03592,1.03853
"Q9Y3Q8",1.01121,0.99853,0.99682,0.99985,1.02528,1.01861,1.00705,1.00267,1.00197,1.00331,1.00134,1.00136,1.00379,0.99946,1.00702,1.00697,0.99518,0.99688,0.99232,1.01089,1.00615,1.01149,1.02314,1.01981,1.01518,1.01606
